userIdxBP	 actualIdxBP	STAT	pvalue	 usedSNPsNo	startBP	endBP	sectrSampleSize	sectrGeneName	executedPerm	desc
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000173110	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.30504294612903	0.7296	94	160728486	160840829	190	ENSG00000179914	10000	executed
160742014	160742014	-4.57220273502723	0.9688	99	160728486	160839495	190	ENSG00000186517	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000203747	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-1.05937311257069	0.2907	98	160728486	160837619	190	ENSG00000213085	10000	executed
160742014	160742014	-2.1253338763693	0.6807	91	160728486	160840829	190	ENSG00000215845	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000224985	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.89938873457251	0.8476	104	160728486	160839495	190	ENSG00000227741	10000	executed
160742014	160742014	-1.8256334503086	0.5857	89	160728486	160830769	190	ENSG00000228606	10000	executed
160742014	160742014	-0.567031893538445	0.1176	101	160728486	160840829	190	ENSG00000228863	10000	executed
160742014	160742014	-2.32906586436623	0.7365	92	160728486	160830769	190	ENSG00000234425	10000	executed
160742014	160742014	-2.95897701341324	0.8558	111	160728486	160839495	190	ENSG00000248485	10000	executed
160742014	160742014	NA	NA	90	160728486	160830769	190	ENSG00000270149	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.81613245697364	0.8361	92	160728486	160830769	190	ENSG00000283317	10000	executed
160742014	160742014	-2.04410381895564	0.656	89	160728486	160830769	190	ENSG00000283360	10000	executed
160742014	160742014	-1.50759770950704	0.4654	89	160728486	160830769	190	ENSG00000283696	10000	executed
160742014	160742014	NA	NA	89	160728486	160830769	190	ENSG00000072694	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	0.110653666321262	0.0114	89	160728486	160830769	190	ENSG00000234211	10000	executed
160742014	160742014	NA	NA	90	160728486	160830769	190	ENSG00000132185	0	Second trait min pvalue is higher than threshold: 0.05
160742014	160742014	-2.93976904585015	0.8529	106	160728486	160839495	190	ENSG00000162746	10000	executed
160742014	NA	NA	NA	100	160750284	160840829	190	ENSG00000081721	0	index SNP has been filtered out.
160742014	NA	NA	NA	85	160766482	160840829	190	ENSG00000118217	0	index SNP has been filtered out.
160742014	NA	NA	NA	85	160766482	160840829	190	ENSG00000226889	0	index SNP has been filtered out.
